HCUPnet - Hospital Inpatient State Statistics,,,,,,,
,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: All Stays | Principal or All-Listed: Principal | Outcome and Measures: Number, Aggregate charges, Aggregate costs, Age (mean) | Patient Characteristics: Age groups, Sex, Payer, Location of patient's residence | Hospital/Facility Characteristics: Hospital ownership, Hospital bedsize | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,
,,,,,,,
2016  Arizona,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
Owner,Government,24793,8.0889645812,39.6019440971,1876128152.57,409372248.830345,
,"Private, Not For Profit",90039,29.3761255971,49.5937513883,5033517353.16,1011841275.6022,
,"Private, For Profit",191672,62.5349098217,48.3287960683,16522018829.26,2027826940.36436,
Bedsize,Small,26436,8.6250097878,53.0284460584,2183616068.2,324909666.127124,
,Medium,90277,29.4537754809,46.5078480676,6202634067.54,907219261.275616,
,Large,189791,61.9212147313,48.0004109849,15045414199.25,2216911537.39427,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the University of Nevada, Las Vegas and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  New Jersey,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,965520,100,50.7106734386,66383696287.09,11214960686.3061,
Age group,<1,108266,11.2132322479,0,3281507934.78,563449922.406356,
,1-17,29906,3.0973982931,9.159198823,1459992326,249483097.376746,
,18-44,231451,23.9716422239,31.6018638934,11320315825.59,1902691889.18241,
,45-64,231556,23.9825171928,55.4140510287,19034889346.05,3201583618.18447,
,65-84,266018,27.5517855663,74.2321872956,23732601798.73,4023643310.55199,
,85+,98162,10.1667495236,89.5178684216,7540046220.94,1271502582.57396,
,Missing,161,0.0166749524,---,14342835,2606266.03091742,
Sex,Male,417933,43.2857941834,51.4480557709,32146515981.24,5443023666.78256,
,Female,546995,56.652891706,50.1376978141,34196360147.85,5764372490.98298,
,Missing,592,0.0613141105,59.5827702703,40820158,7564528.54098855,
Payer,Medicare,381517,39.5141478167,74.2911408664,32343585734.8,5461493705.85288,
,Medicaid,176780,18.3093048306,29.9281397823,9959001561,1637014166.10218,
,Private insurance,345001,35.7321443367,37.5204557314,20139171268.48,3447807284.10992,
,Uninsured,40557,4.200534427,38.8296014993,2608007516.81,416082963.307303,
,Other,21665,2.2438685889,37.2737265044,1333930206,252562566.934442,
Patient residence,Large central metro,221872,22.9795343442,46.7171987214,15452439405.26,2572951139.76155,
,Large fringe metro (suburbs),616323,63.8332711907,51.9447668286,41247686658.34,7155417786.8629,
,Medium and small metro,126123,13.0627019637,51.6393770221,9588522630.49,1469935602.05057,
,Micropolitan and noncore (rural),907,0.0939390173,59.2251655629,73767569,13072385.1109273,
,Missing,295,0.0305534841,52.3333333333,21280024,3583772.52088751,
Owner,Government,*,*,*,*,*,
,"Private, Not For Profit",902783,93.5022578507,50.6694921075,60649049625.17,10259772564.404,
,"Private, For Profit",45615,4.724397216,55.2336936265,4003183605.92,593234818.329055,
Bedsize,Small,83972,8.6970751512,58.0859436412,6753609626,1114062836.09178,
,Medium,420137,43.5140649598,50.1386349787,26629050240.49,4300829769.22374,
,Large,461411,47.788859889,49.8892328436,33001036420.6,5800068080.99109,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the New Jersey Department of Health and Senior Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  New Mexico,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,188841,100,45.998728928,6516756008.73,2031299493.1115,
Age group,<1,25064,13.2725414502,0,434928578.03,144196636.463655,
,1-17,8985,4.7579709915,9.131441291,188620512.49,77711605.235904,
,18-44,51148,27.085219841,30.3976695081,1232334133.75,401047167.444739,
,45-64,43066,22.8054289058,55.539172433,1923215403.71,603925144.578768,
,65-84,48220,25.5347090939,73.7646412277,2277830958.15,672557258.545539,
,85+,12334,6.5314206131,89.1628830874,459119014.6,131638073.374536,
,Missing,24,0.0127091045,---,707408,223607.4683626,
Sex,Male,82240,43.549864701,47.3167866524,3234191849.63,1013749509.12509,
,Female,106344,56.3140419718,44.9593521932,3273848183.09999,1014655123.17956,
,Missing,257,0.1360933272,54.280155642,8715976,2894860.80687829,
Payer,Medicare,69918,37.0247986401,71.9963954686,3126325974.73,922325696.242288,
,Medicaid,67225,35.5987312077,26.3099035829,1838915221.38,610363122.818916,
,Private insurance,39348,20.8365768027,35.887132437,1179203869.57,373686979.677719,
,Uninsured,4503,2.3845457289,36.7008660893,109632723.8,39501129.7391917,
,Other,5728,3.0332396037,36.8688896648,183144823.89,59471812.4064602,
,Missing,2119,1.1221080168,44.9240207645,79533395.36,25950752.2269254,
Patient residence,Large central metro,920,0.4871823386,54.5434782609,31472341.03,10564195.6262229,
,Large fringe metro (suburbs),518,0.2743048385,56.4227799228,20006142.54,6151509.92571318,
,Medium and small metro,123416,65.3544516286,45.6498460292,4308587429.99,1355068836.27937,
,Micropolitan and noncore (rural),63178,33.455658464,46.4765394966,2141030529.43,652406064.019295,
,Missing,809,0.4284027303,45.5142150803,15659565.74,7108887.26089999,
Owner,Government,33358,17.6645961417,39.6389771569,1015296130.19,502144606.37431,
,"Private, Not For Profit",92238,48.8442658109,47.2953404396,2691855317.55999,940562782.555226,
,"Private, For Profit",63245,33.4911380474,47.4626185958,2809604560.98,588592104.181983,
Bedsize,Small,27908,14.7785703317,43.2986705844,1009005985.91,279252298.809626,
,Medium,49003,25.9493436277,52.0544942444,2000651379,493228842.290501,
,Large,111930,59.2720860406,44.020801687,3507098643.81999,1258818352.01136,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the New Mexico Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  New York,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,2333881,100,49.3191617174,107589168706.509,30832125316.9229,
Age group,<1,251484,10.7753565842,0,6353560697,1756798196.5777,
,1-17,95203,4.0791711317,8.6746636135,3650510104.21,987884840.975119,
,18-44,584669,25.0513629444,31.3226133077,19155438468.66,5560738304.31446,
,45-64,589431,25.2554007681,55.3791520975,31409337133.08,9143018449.01286,
,65-84,608574,26.075622536,73.952806068,36636630341.86,10463045476.1265,
,85+,204506,8.7624861765,89.5680566829,10382289088.7,2920244813.53786,
,Missing,14,0.0005998592,---,1402873,395236.376036776,
Sex,Male,1039031,44.5194506489,49.8126918254,52802999227.43,15106593630.8411,
,Female,1294793,55.4781070672,48.9241793387,54784339359.0799,15724993493.588,
,Missing,57,0.0024422839,25.1403508772,1830120,538192.49086884,
Payer,Medicare,863679,37.0061284187,73.5814458629,49256971997.52,14087359436.9142,
,Medicaid,707006,30.2931469085,31.8250167256,26150338905.4899,7530774304.90632,
,Private insurance,651107,27.8980376463,37.4619790171,28056957404.5599,7949494709.9665,
,Uninsured,64737,2.7737918086,38.0536169424,2156869478.35,666308300.766646,
,Other,47352,2.0288952179,46.4272681196,1968030920.59,598188564.365902,
Patient residence,Large central metro,1188254,50.9132213682,46.9732084548,54853552056.0199,15638851496.4344,
,Large fringe metro (suburbs),645872,27.6737331509,51.9372287569,36014895769.91,9322677206.17035,
,Medium and small metro,307384,13.1705086935,51.2123611662,10307825446.6099,3530220982.53735,
,Micropolitan and noncore (rural),155236,6.6514102476,52.3290859547,4376902822.52,1746460058.83946,
,Missing,37135,1.5911265399,50.5974956241,2035992611.45,593915572.939063,
Owner,Government,344463,14.7592357965,44.573146374,15297098677.29,4820864964.60925,
,"Private, Not For Profit",1989418,85.2407642035,50.1409203848,92292070029.2198,26011260352.3136,
Bedsize,Small,248980,10.6680674807,56.573037995,9522859737.2,3074028273.04288,
,Medium,588625,25.2208660167,50.265767281,19015829492.41,6246234420.16542,
,Large,1496276,64.1110665025,47.7397168813,79050479476.8999,21511862623.7144,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the New York State Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  North Carolina,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,1086932,100,49.0835124472,37115686368.8199,11344867877.9396,
Age group,<1,126055,11.5973216356,0,1627384045.96,493570916.637988,
,1-17,33904,3.11923837,9.7167885795,1104398935.38,327679557.973536,
,18-44,264509,24.3353770061,30.8745260086,6653814171.78999,2024475510.45998,
,45-64,278936,25.6626909503,55.5816101185,12181283319.0399,3712239742.60858,
,65-84,310329,28.5509121086,73.5408646952,13363751668.99,4105609302.78326,
,85+,73099,6.7252597219,89.2478556478,2180365207.66,679942378.076813,
,Missing,100,0.0092002076,---,4689020,1350469.39920454,
Sex,Male,464514,42.7362521298,50.1527141747,17942875938.4399,5463309459.70364,
,Female,621504,57.1796579731,48.2728167994,19140669821.38,5871672533.9589,
,Missing,914,0.0840898971,56.9649507119,32140609,9885884.27706747,
Payer,Medicare,365335,33.6115782772,70.8887337746,14824903384.88,4515563170.9231,
,Medicaid,223381,20.5515156422,24.4681398889,5643940771.75,1731168882.91313,
,Private insurance,397334,36.5555526933,45.4475447384,13654089785.12,4189656304.53649,
,Uninsured,61349,5.6442353339,37.1842246817,1708657040.82,517583342.894313,
,Other,36140,3.324955011,41.3774420278,1126871375,348619124.149693,
,Missing,3393,0.3121630424,44.4491600354,157224011.25,42277052.522532,
Patient residence,Large central metro,175038,16.1038593031,42.9505111166,6107942063.7,1756914616.08047,
,Large fringe metro (suburbs),150745,13.8688528813,48.8224327588,5784474951.67,1630493076.44834,
,Medium and small metro,482709,44.4102298948,49.4772319033,15871365166.3499,5030520728.35545,
,Micropolitan and noncore (rural),277534,25.5337040404,52.4136638801,9323955892.1,2919692992.51579,
,Missing,906,0.0833538805,47.385209713,27948295,7246464.53947765,
Owner,Government,324911,29.8924863745,47.4809872941,11318652739.92,3392909622.55614,
,"Private, Not For Profit",701128,64.505231238,49.4338938227,23528714941.9,7410430089.84709,
,"Private, For Profit",60893,5.6022823875,53.5999343078,2268318687,541528165.535908,
Bedsize,Small,129134,11.8805960262,53.538166668,3858069192.29,1227328874.09051,
,Medium,176697,16.2564907464,47.0177089818,5000833202.42999,1520247695.6155,
,Large,781101,71.8629132273,48.8143393627,28256783974.1,8597291308.23354,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the North Carolina Department of Health and Human Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  North Dakota,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,91897,100,47.0542472849,2466374041.91,1051122966.3013,
Age group,<1,13671,14.876437751,0,147154630,61572845.519345,
,1-17,2742,2.9837753137,10.0280816922,50874437,19728686.0208459,
,18-44,24024,26.1423115009,30.3384115884,424353179,181953617.24069,
,45-64,19950,21.7090873478,55.8810025063,747044955,314077159.849465,
,65-84,23880,25.9856143291,74.1577470687,890553518.91,381140927.098081,
,85+,7627,8.2995092332,89.411695293,206298269,92614527.8486008,
,Missing,*,*,---,*,*,
Sex,Male,40016,43.5444029729,49.2262594962,1259625234,533380538.161785,
,Female,51854,56.4262163074,45.3780062101,1205912376.91,517395376.352138,
,Missing,27,0.0293807197,47.037037037,836431,347051.787371008,
Payer,Medicare,33788,36.7672502911,74.3868055761,1172604874,504682222.643993,
,Medicaid,14366,15.63271924,26.9701357466,341966109.91,138187435.017555,
,Private insurance,35673,38.8184597974,32.7444565918,786266251,335755194.061055,
,Uninsured,1925,2.0947364985,20.3433766234,26396476,11612587.6876261,
,Other,4086,4.4462822508,36.7158590308,99866424,42840490.9145185,
,Missing,2059,2.2405519223,32.0675413022,39273907,18045035.9765492,
Patient residence,Large central metro,338,0.3678030839,45.1183431953,10746188,4387548.88483087,
,Large fringe metro (suburbs),339,0.3688912587,42.9233038348,10023889,4277566.67321746,
,Medium and small metro,44404,48.3193140146,45.2088644656,1100044129,453881491.430642,
,Micropolitan and noncore (rural),46768,50.8917592522,48.8489105566,1343466771.91,587697012.401947,
,Missing,48,0.0522323906,48.3541666667,2093064,879346.910655759,
Owner,"Private, Not For Profit",91897,100,47.0542472849,2466374041.91,1051122966.3013,
Bedsize,Small,42197,45.9177122213,46.707372562,873975313.91,449366117.133403,
,Medium,*,*,*,*,*,
,Large,35463,38.5899430885,47.295084741,1221758256,448734431.76585,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Minnesota Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Oklahoma,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,450844,100,49.2062186555,19593237014.71,4481529790.68115,
Age group,<1,52012,11.5365847167,0,1134339307.22,216909550.991972,
,1-17,19303,4.281525317,8.3678184738,743102525,135690074.01024,
,18-44,104574,23.1951628501,30.6112131122,3264477206.32,712945184.534294,
,45-64,110910,24.6005270116,55.8101523758,6255685161.71,1421189888.58563,
,65-84,130236,28.8871538714,73.79329832,6926693588.6,1668250104.5366,
,85+,33802,7.4974935898,89.3697118514,1268723565.86,326494838.604457,
,Missing,*,*,---,*,*,
Sex,Male,189262,41.9794873615,50.1999904892,9560647844.74,2160874062.04515,
,Female,261527,58.0083132968,48.487647358,10030861724.75,2320229861.79796,
,Missing,55,0.0121993417,46.3454545455,1727445.22,425866.83810557,
Payer,Medicare,186585,41.385712131,72.5910389367,9436991937.75,2262484525.81534,
,Medicaid,99054,21.970792558,21.7637633898,3227751515.33,666905193.268099,
,Private insurance,119113,26.4200033715,37.5706477937,4833568724,1097058232.63878,
,Uninsured,25419,5.6380921117,42.6179872531,1082812785.3,232478870.33383,
,Other,20668,4.5842907968,44.7708051093,1011933330.33,222561213.00868,
,Missing,*,*,*,*,*,
Patient residence,Large central metro,89525,19.8572011605,45.3814912036,4677025848.07,889417999.44651,
,Large fringe metro (suburbs),58207,12.9106742022,48.0141566162,2837566468.64,610335475.888428,
,Medium and small metro,145796,32.3384585355,48.6807048349,5472070566.48,1377305192.04393,
,Micropolitan and noncore (rural),156886,34.7982894305,52.3344594379,6572546196.52,1599208900.65967,
,Missing,430,0.0953766713,43.723255814,34027935,5262222.64268208,
Owner,Government,66776,14.8113316358,52.0065744152,1799240716.7,540919370.689317,
,"Private, Not For Profit",217743,48.2967500954,49.0913107376,8136738901.76,2098851478.89567,
,"Private, For Profit",166325,36.8919182688,48.2323851782,9657257396.25,1841758941.09622,
Bedsize,Small,105020,23.2940884208,54.4964149344,3854971801.02,1129978329.80602,
,Medium,81118,17.9924763333,48.8378288419,3244478000.2,690376684.860434,
,Large,264706,58.7134352459,47.2202417832,12493787213.49,2661174776.01472,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Oklahoma State Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Oregon,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,374965,100,49.2061149745,12740107374.8,5095762177.19929,
Age group,<1,47129,12.5689064313,0,658848883,257440235.292693,
,1-17,13421,3.5792673983,9.4691900753,471534446.21,190017534.516534,
,18-44,88076,23.4891256517,30.9009605341,2305868754.46,933555517.323086,
,45-64,87063,23.2189671036,56.0611855783,3794337330.9,1515941262.63981,
,65-84,109073,29.0888482925,73.5167548339,4610251661.23,1832954333.12252,
,85+,30121,8.0330164149,89.580990007,895782261,364538034.695176,
,Missing,82,0.0218687077,---,3484038,1315259.60946951,
Sex,Male,163899,43.7104796448,50.9074447048,6340992686.99,2519711024.33444,
,Female,210888,56.2420492579,47.8864443675,6393874376.81,2574050243.42756,
,Missing,178,0.0474710973,46.4101123596,5240311,2000909.43726352,
Payer,Medicare,152156,40.5787206806,73.3924376762,6015157495.43,2398676459.17187,
,Medicaid,97623,26.0352299548,28.8045148994,2899411870.3,1155439569.45873,
,Private insurance,103543,27.6140439774,33.8623791168,3029786208.09,1224551799.44479,
,Uninsured,6359,1.6958916166,30.8842403271,148453557.98,59489761.6417528,
,Other,15284,4.0761137706,50.2357484129,647298243,257604587.48216,
Patient residence,Large central metro,67754,18.0694198125,46.1647473942,2205221385.37,866441472.186447,
,Large fringe metro (suburbs),98494,26.2675183017,47.0527096198,3070569495.69,1269654461.04392,
,Medium and small metro,140537,37.4800314696,50.5267023457,5048856140.93999,1926005371.22162,
,Micropolitan and noncore (rural),68068,18.1531609617,52.6467433626,2408742005.8,1031108935.0081,
,Missing,112,0.0298694545,34.0803571429,6718347,2551937.73920552,
Owner,Government,41598,11.0938354246,43.6567455066,1996521264.12,851287546.54774,
,"Private, Not For Profit",320964,85.598389183,49.7954811027,10287085643.11,4131417164.2542,
,"Private, For Profit",12403,3.3077753924,52.5519632347,456500467.57,113057466.397309,
Bedsize,Small,64523,17.207739389,50.555069903,1587166604.09,709834240.955291,
,Medium,121171,32.3152827597,51.8365452069,3897749512.17,1491094280.06594,
,Large,189271,50.4769778513,47.0615697674,7255191258.54,2894833656.17803,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Oregon Association of Hospitals and Health Systems and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Rhode Island,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,125672,100,51.1638891542,4133977964.2,1468615847.81452,
Age group,<1,12718,10.1199949074,0,278728494,127412368.568759,
,1-17,4079,3.2457508435,9.4398136798,113840528,37144438.8001682,
,18-44,29721,23.6496594309,31.2292655025,754114087.54,282302602.159233,
,45-64,31972,25.4408300974,55.4911485049,1204532484.4,412142632.291173,
,65-84,34439,27.4038767585,73.9550799965,1385933037.86,473557328.627988,
,85+,12723,10.1239735184,89.6858445335,395961942.4,135774880.787676,
,Missing,20,0.0159144439,---,867390,281596.579511116,
Sex,Male,55351,44.044019352,51.5791080915,1983724835.18,687737640.724653,
,Female,70219,55.8748169839,50.866999003,2148244886.02,780198216.105121,
,Missing,102,0.0811636641,29.82,2008243,679990.984730451,
Payer,Medicare,54832,43.6310395315,72.920296199,2064298049.74,705824001.936226,
,Medicaid,31820,25.3198803234,30.6432366163,918131193.3,341966124.257332,
,Private insurance,32875,26.1593672417,36.1803966902,971745356.5,358108321.105969,
,Uninsured,3505,2.7890063021,42.4348943461,100601782.62,34346943.6352636,
,Other,1522,1.2110891845,34.7455621302,45253312.04,16520491.5942541,
,Missing,1118,0.8896174168,58.3202146691,33948270,11849965.2854509,
Patient residence,Large central metro,73742,58.6781462856,49.4237060547,2348293313.99,821052409.621697,
,Large fringe metro (suburbs),45879,36.5069386976,52.9281510224,1542505197.6,565802030.808376,
,Medium and small metro,1868,1.4864090649,55.3185224839,59845927.07,21736943.9875494,
,Micropolitan and noncore (rural),88,0.0700235534,47.5227272727,2702843,915691.485342782,
,Missing,4095,3.2584823986,60.9162188569,180630682.54,59108771.9115393,
Owner,"Private, Not For Profit",119362,94.978992934,50.6299741082,3906938811.62,1408191860.86759,
,"Private, For Profit",*,*,*,*,*,
Bedsize,Small,62572,49.7899293399,47.430133133,1656780860.62,658311715.58037,
,Medium,26670,21.2219110064,59.1439553022,838044296.579999,281565375.63894403,
,Large,*,*,*,*,*,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Rhode Island Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  South Carolina,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,530078,100,50.0801375123,24534062177.68,5618616344.6343,
Age group,<1,58211,10.9815913884,0,982197583,263197486.514244,
,1-17,16858,3.1802866748,9.6088503974,532320939,146451003.931593,
,18-44,121330,22.889084248,30.7773922361,4121895344.89,958529585.875288,
,45-64,136793,25.8062021061,55.7151462429,8039969978.92,1817544514.55683,
,65-84,161125,30.3964699535,73.4880248254,9350982225.29,2091145884.14158,
,85+,35672,6.7295756474,89.2440849966,1501066343.58,340195435.171923,
,Missing,89,0.0167899819,---,5629763,1552434.44278121,
Sex,Male,227417,42.9025539638,51.374208899,11932029685.87,2719191301.75396,
,Female,302461,57.0597157399,49.1073414942,12594858613.81,2897747618.52423,
,Missing,200,0.0377302963,49.8484848485,7173878,1677424.35598213,
Payer,Medicare,247143,46.6238930874,69.9481412842,13472377734.17,3025039261.79121,
,Medicaid,103487,19.5229758639,23.0920560341,3427981160.23,830561100.184606,
,Private insurance,125943,23.759333532,37.604856705,5201868900.28,1217223649.16987,
,Uninsured,29604,5.5848384577,39.4866180049,1340014449,295440270.433487,
,Other,23865,4.5021676055,40.2995138714,1091092129,250157160.7728,
,Missing,36,0.0067914533,33.2777777778,727805,194902.282251221,
Patient residence,Large central metro,2016,0.3803213867,52.5456349206,102183169,22270300.1207475,
,Large fringe metro (suburbs),26204,4.9434234207,51.2117938931,1147660232,226982311.940128,
,Medium and small metro,404195,76.2519855568,49.4571218592,18799919456.1399,4279490958.12577,
,Micropolitan and noncore (rural),97481,18.3899350662,52.3004616805,4473857476.54,1087831955.56388,
,Missing,182,0.0343345696,54.1657458564,10441844,2040818.88370961,
Owner,Government,131232,24.7571112176,48.6771314462,5797904025,1625756844.75781,
,"Private, Not For Profit",255118,48.1283886522,49.3808564192,10790726212.68,2769270330.7587,
,"Private, For Profit",143728,27.1145001302,52.6018785876,7945431940,1223589169.1176,
Bedsize,Small,55469,10.4643090262,52.0032991995,2005727279,505409018.019315,
,Medium,201876,38.0842064753,51.2425682002,9605623263.96,1851972073.06794,
,Large,272733,51.4514844985,48.8282389273,12922711634.72,3261235253.54711,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the South Carolina State Budget and Control Board and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Tennessee,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,715658,100,50.1166003707,30095039014.96,6656986138.25449,
Age group,<1,75582,10.5611898421,0,1708095784.74,394953923.088675,
,1-17,25965,3.6281296373,9.8834585018,1046360371.98,260071507.546498,
,18-44,162820,22.7510906047,30.8248925193,5111491921.63,1115053492.67942,
,45-64,187428,26.1896045318,55.6661651407,9723699437.15999,2120134791.19169,
,65-84,215605,30.1268203527,73.5733401359,10761276205.3099,2374221090.63604,
,85+,48078,6.7180133527,89.1387744915,1734053355.14,390535755.908794,
